"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",1100,"Congerville",61729
"951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",310,"Cooksville",61730
"952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",230,"Cropsey",61731
"953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",2120,"Danvers",61732
"954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1070,"Deer Creek",61733
"955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",2590,"Delavan",61734
"956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",300,"Dewitt",61735
"957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1880,"Downs",61736
"958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",490,"Ellsworth",61737
"959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",4020,"El Paso",61738
"960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",4590,"Fairbury",61739
"961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",1370,"Flanagan",61740
"962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",1620,"Forrest",61741
"963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",1200,"Goodfield",61742
"964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",230,"Graymont",61743
"965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",2000,"Gridley",61744
"966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",4290,"Heyworth",61745
"967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1400,"Hopedale",61747
"968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",2850,"Hudson",61748
"969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",490,"Kenney",61749
"970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",92,"Lane",61750
"971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Logan County",126,"Lawndale",61751
"972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",4030,"Le Roy",61752
"973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",2840,"Lexington",61753
"974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1150,"Mc Lean",61754
"975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",4280,"Mackinaw",61755
"976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Macon County",2110,"Maroa",61756
"977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",10,"Merna",61758
"978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tazewell County",1400,"Minier",61759
"979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",2310,"Minonk",61760
"980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",550,"Saunemin",61769
"981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1050,"Saybrook",61770
"982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Woodford County",930,"Secor",61771
